ATHD,IBM AT DSHD 3.5"
A1,Generic CP/M - SSSD 8"
ABC1,ABC-80 - SSDD 48 tpi 5.25"
ABD1,A. B. Dick Magna III - DSDD 48 tpi 5.25"
ACT1,Actrix (Access Matrix) - SSDD 48 tpi 5.25"
ADL1,Adler Textriter - SSDD 48 tpi 5.25"
ADV1,Advanced Digital Super 6 - SSDD 48 tpi 5.25"
ADV3,Advanced Digital Super 6 - DSDD 96 tpi 5.25"
ADV5,Advanced Digital TurboDOS 312K - DSDD 48 tpi 5.25"
ALT5,Altos Series 5 - DSDD 96 tpi 5.25"
AMI1,Amigo - SSDD 48 tpi 5.25"
AMP1,Ampro - SSDD 48 tpi 5.25"
AMP3,Ampro - SSDD 96 tpi 5.25"
AMS1,Amstrad PCW8256 - DSDD 96 tpi 5.25"
AMSD,Amstrad PCW 9256, 9512 Disckit - DSDD 3.5"
APL1,Apple ][ - SSDD 48 tpi 5.25" (CP/M)
APL2,Apple ][ - SSDD 48 tpi 5.25" (CP/M read as DOS 3.3 image)
ARC1,Archive I - SSDD 96 tpi 5.25"
ARC2,Archive II & III - DSDD 96 tpi 5.25"
ARI1,Arisia - SSDD 48 tpi 5.25"
ATR1,ATR-8000 - SSDD 48 tpi 5.25"
AVA1,Avatar - DSDD 48 tpi 5.25"
BEE1,Beehive - DSDD 48 tpi 5.25"
BEE2,Beehive Microbee - DSDD 48 tpi 5.25"
BIT1,Bitelex - SSDD 48 tpi 5.25"
BMC1,BMC IF800 Model 20 - DSDD 48 tpi 5.25"
BON1,Bondwell 12 - SSDD 48 tpi 5.25"
BON2,Bondwell 14 - DSDD 48 tpi 5.25"
BUR1,Burr-Brown - DSDD 48 tpi 5.25"
CAL1,Cal-PC - DSDD 48 tpi 5.25"
CAS1,Cashcom 100 - DSDD 96 tpi 5.25"
CAS2,Casio FP-1100/FP-1020 - DSDD 48tpi 5.25"
CCS1,CCS (256 bytes/sector) - DSDD 48 tpi 5.25"
CCS2,CCS (512 bytes/sector) - DSDD 48 tpi 5.25"
CCS3,CCS (1024 bytes/sector) - DSDD 48 tpi 5.25"
CDI1,CDI-5000 - DSDD 48 tpi 5.25"
CMC1,CMC Supersystem 2 - DSDD 96 tpi 5.25"
COL1,Coleco ADAM, 40 track - SSDD 48 tpi 5.25"
COM1,Compis - DSDD 96 tpi 5.25"
COM2,Compugraphic MCS-5 - SSDD 48 tpi 5.25"
COM3,Compustar Model 30 - DSDD 48 tpi 5.25"
COM4,Compupro (Viasyn) (1024 bytes/sector) - DSDD 96 tpi 5.25"
CRO1,Cromemco CDOS - SSSD 48 tpi 5.25"
CRO3,Cromemco CDOS - SSDD 48 tpi 5.25"
CRO6,Cromemco CP/M - SSDD 48 tpi 5.25"
CWP1,C/WP Cortex - SSDD 48 tpi 5.25"
CYK1,Cykey - DSDD 48 tpi 5.25"
DAT1,Datavue DV80 - DSDD 48 tpi 5.25"
DAT2,Datavue DV80 - DSDD 96 tpi 5.25"
DEC1,DEC DECMate II - SSDD 96 tpi 5.25"
DEC2,DEC Rainbow - SSDD 96 tpi 5.25"
DEC3,DEC VT-180 - SSDD 48 tpi 5.25"
DIG1,Digilog - DSDD 48 tpi 5.25"
DIG2,Digilog 1500 - DSDD 96 tpi 5.25"
DIR1,Direct 1025 - DSDD 48 tpi 5.25"
DIS1,Discovery - DSDD 96 tpi 5.25"
EAG1,Eagle II - SSDD 96 tpi 5.25"
EAG2,Eagle III - DSDD 96 tpi 5.25"
EPS1,Epson QX-10 - DSDD 48 tpi 5.25"
EPS2,Epson QX-10 (256 bytes/sector) - DSDD 48 tpi 5.25"
EPS3,Epson PX-8 - DSDD 3.5"
ERI1,Ericsson DTC - SSDD 96 tpi 5.25"
ERI2,Ericsson DTC2 - DSDD 96 tpi 5.25"
ERI3,Ericsson Step One - DSDD 96 tpi 5.25"
FLO1,Florida Graphics - DSDD 96 tpi 5.25"
FOR1,Formula 1 - DSDD 48 tpi 5.25"
FUJ1,Fujitsu Micro 16 - DSDD 48 tpi 5.25"
FUJ2,Fujitsu Micro 8 - DSDD 48 tpi 5.25"
GNA1,Gnat System 10 - DSDD 48 tpi 5.25"
HCL1,HCL System 2 - DSDD 96 tpi 5.25"
HEA1,Heath H89, Magnolia CP/M - SSDD 48 tpi 5.25"
HEA3,Heath H89, Magnolia CP/M - DSDD 96 tpi 5.25"
HEU1,Heurikon MLZ-91A - DSDD 96 tpi 5.25"
HP1,Hewlett-Packard HP 86, 87, 125 - DSDD 48 tpi 5.25"
IBM1,IBM PC, CP/M-86 - SSDD 48 tpi 5.25"
IBM2,IBM PC, CP/M-86 - DSDD 48 tpi 5.25"
IMS1,IMS 5000 - SSDD 48 tpi 5.25"
IMS2,IMS 5000 TurboDOS - DSDD 96 tpi 5.25"
INT1,Intel iPDS 100 - DSDD 96 tpi 5.25"
INS1,Insight Enterprises - DSDD 48 tpi 5.25"
ITH1,Ithaca Intersystems - SSDD 96 tpi 5.25"
JET1,Jet-80 - DSDD 48 tpi 5.25"
KAY1,Kaypro II/2 - SSDD 48 tpi 5.25"
KAY2,Kaypro 2X/4/10 - DSDD 48 tpi 5.25"
KAY3,Kaypro, Pro-8 ROM - DSDD 96 tpi 5.25"
